Day fraction since midnight on 2/1/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Large Scale ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()
0.00011651	42.41167068	6.99663925	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.13077462	3.61143279	0.84820394	7860.404677	1423	608	604	451	223	52	98	100	3367	852	294	299	188	62	24	98	100	1721	0.01229089	0.03451291	92.39194489	100.9797363	0	0.81333333	1	313.5
0.00014304	42.42015839	6.99666977	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.09348667	3.52761173	0.84820394	7870.770424	1423	608	604	451	223	52	98	100	3367	852	294	299	188	62	24	98	100	1721	0.01497499	0.03730329	91.80028534	101.0905151	0	0.81333333	1	313.4
0.00023669	42.42824173	6.99676943	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.09348667	3.52761173	0.84820394	7870.770424	1423	608	604	451	223	52	98	100	3367	852	294	299	188	62	24	98	100	1721	0.01497499	0.03730329	91.80028534	101.0905151	0	0.81333333	1	313.4
0.00025878	42.4239502	6.99669456	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.26525366	3.52761173	0.84820394	7881.13817	1418	597	607	445	225	55	98	100	3351	838	288	306	189	63	26	98	100	1711	0.01280588	0.03612585	92.04947662	101.0019531	0	0.81333333	1	313.4
0.00035664	42.4451828	6.99657202	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.26525366	3.52761173	0.84820394	7881.13817	1418	597	607	445	225	55	98	100	3351	838	288	306	189	63	26	98	100	1711	0.01280588	0.03612585	92.04947662	101.0019531	0	0.81333333	1	313.4
0.00037455	42.43925476	6.99660206	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.32814777	3.92923665	0.84820394	7891.51991	1427	606	616	467	236	55	98	100	3411	838	288	306	189	63	26	98	100	1711	0.01352084	0.03618919	92.03605652	101.1771164	0	0.81333333	1	313.3
0.00047663	42.45463181	6.99710464	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.32814777	3.92923665	0.84820394	7891.51991	1427	606	616	467	236	55	98	100	3411	838	288	306	189	63	26	98	100	1711	0.01352084	0.03618919	92.03605652	101.1771164	0	0.81333333	1	313.3
0.00049028	42.45346451	6.99690247	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.35352707	3.92923665	0.84820394	7901.885656	1427	606	616	467	236	55	98	100	3411	838	288	306	189	63	26	98	100	1711	0.01179725	0.03622701	92.02804565	101.1922607	0	0.81333333	1	313.3
0.00059662	42.45684052	6.99686909	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.35352707	3.92923665	0.84820394	7901.885656	1427	606	616	467	236	55	98	100	3411	838	288	306	189	63	26	98	100	1711	0.01179725	0.03622701	92.02804565	101.1922607	0	0.81333333	1	313.3
0.00060602	42.4714241	6.99696064	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.35352707	3.262115	0.84820394	7912.252404	1414	606	610	444	219	53	98	100	3350	844	281	302	178	63	24	98	100	1695	0.01426041	0.03647469	91.97557831	101.1922607	0	0.81333333	1	313.2
0.00071715	42.43856049	6.99682331	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.38101101	3.34716702	0.84820394	7922.620152	1409	607	624	473	234	54	98	100	3407	844	281	302	178	63	24	98	100	1695	0.01246384	0.03534536	92.21503448	101.3484116	0	0.81333333	1	313.2
0.00083676	42.45593643	6.99698496	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.38101101	3.34716702	0.84820394	7922.620152	1409	607	624	473	234	54	98	100	3407	844	281	302	178	63	24	98	100	1695	0.01246384	0.03534536	92.21503448	101.3484116	0	0.81333333	1	313.2
0.0008375	42.45399094	6.99696064	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.24930573	3.33605361	0.84820394	7933.001889	1428	595	617	462	230	55	98	100	3391	860	280	305	187	68	25	98	100	1727	0.01246384	0.03534536	92.21503448	101.6749115	0	0.81333333	1	313.1
0.00095673	42.43655777	6.99670172	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.24930573	3.33605361	0.84820394	7933.001889	1428	595	617	462	230	55	98	100	3391	860	280	305	187	68	25	98	100	1727	0.01246384	0.03534536	92.21503448	101.6749115	0	0.81333333	1	313.1
0.00101111	42.42802429	6.99684763	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.2420249	3.3712163	0.84820394	7943.367637	1428	595	617	462	230	55	98	100	3391	860	280	305	187	68	25	98	100	1727	0.01284823	0.03498352	92.29189301	101.7982101	0	0.81333333	1	313.1
0.00107674	42.42871094	6.99662733	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.2420249	3.3712163	0.84820394	7943.367637	1428	595	617	462	230	55	98	100	3391	860	280	305	187	68	25	98	100	1727	0.01284823	0.03498352	92.29189301	101.7982101	0	0.81333333	1	313.1
0.00112687	42.43544006	6.99660301	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.25391102	3.35553789	0.84820394	7953.734385	1424	601	601	459	220	52	98	100	3360	860	280	305	187	68	25	98	100	1727	0.01125511	0.03520175	92.24552917	101.8031998	0	0.81333333	1	313
0.0011969	42.41656113	6.99675226	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.25391102	3.35553789	0.84820394	7953.734385	1424	601	601	459	220	52	98	100	3360	860	280	305	187	68	25	98	100	1727	0.01125511	0.03520175	92.24552917	101.8031998	0	0.81333333	1	313
0.00124261	42.36665344	6.99702168	1.176	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.6235	6.12	1.2765	0.041	0.0565	1.40064991	3.36874223	0.84820394	7964.100133	1411	609	609	457	226	52	98	100	3369	894	306	322	206	76	28	98	100	1836	0.0146837	0.03728575	91.80399323	101.5568008	0	0.81333333	1	313
