Day fraction since midnight on 12/18/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PID Control ()	Scale ()	PC1 & 2 pump #2 ()
0.55635922	38.16563416	6.99598742	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.94389385	0.31829736	0.85714286	56.80043507	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04920306	0.06464913	86.19880676	108.5313339	99.8235829	0	0.83181818
0.5564171	38.1766777	6.99600935	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.94389385	0.31829736	0.85714286	65.35919666	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	22.00000999	101.00001	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	35.00000999	101.00001	0.00000999	0.04920999	0.06464999	86.19880999	108.8001556	99.82061798	0.006	0.83181818
0.55647496	38.15275574	6.99598026	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.91632372	0.30210212	0.85714286	69.54683495	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04702972	0.06052784	87.02059937	109.087532	99.81718681	0.006	0.83181818
0.55653284	38.19367218	6.99594307	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.91632372	0.30210212	0.85714286	74.09205294	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04702972	0.06052784	87.02059937	109.4233551	99.81388161	0.006	0.83181818
0.5565907	38.21530533	6.99590254	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.91526967	0.30405536	0.85714286	78.12173367	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04702972	0.06052784	87.02059937	109.8046341	99.81056726	0.009	0.83181818
0.55664858	38.1786232	6.99597073	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.91526967	0.30405536	0.85714286	86.67849588	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04665716	0.05964177	87.19830322	109.9100189	99.80662629	0	0.83181818
0.55670644	38.191185	6.99572563	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.91953164	0.3071644	0.85714286	91.04382133	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04665716	0.05964177	87.19830322	110.00001	99.80352095	0.005	0.83181818
0.55676432	38.16387177	6.99575949	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.91953164	0.3071644	0.85714286	95.58703661	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04620839	0.05785694	87.55735779	110	99.80023941	0.013	0.83181818
0.55682218	38.2020607	6.99591303	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.95163226	0.31391189	0.85714286	99.07490063	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04620839	0.05785694	87.55735779	110	99.79718777	0.004	0.83181818
0.55688006	38.22454071	6.99593401	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.95163226	0.31391189	0.85714286	103.9840584	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04620839	0.05785694	87.55735779	110	99.79411746	-0.004	0.83181818
0.55693792	38.19719696	6.99589539	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.98856908	0.29860798	0.85714286	108.1754913	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04470468	0.05574695	87.98373413	110	99.79084467	0.001	0.83181818
0.5569958	38.19691086	6.99573374	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.98856908	0.29860798	0.85714286	112.3669214	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04470468	0.05574695	87.98373413	110	99.78789315	-0.003	0.83181818
0.55705367	38.20277786	6.99590921	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.98856908	0.28461799	0.85714286	116.7342448	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04470468	0.05574695	87.98373413	110	99.78461346	-0.003	0.83181818
0.55711155	38.17777252	6.99591112	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.98856999	0.28461799	0.85714286	125.4658952	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04654828	0.05544369	88.0451889	110	99.78155193	0.007	0.83181818
0.55716941	38.18299103	6.99598885	1.127	71.30097087	58.37931034	41.64179104	14.67428571	91.39896373	3.386	6.12	1.514	0.98856999	0.2704778	0.85714286	130.0091128	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04654828	0.05544369	88.0451889	110	99.77838163	0	0.83181818
0.5572273	38.20030212	6.99590969	1.13	71.30097087	58.37931034	40.29850746	14.67428571	91.39896373	3.386	6.12	1.514	1.01016736	0.26676193	0.85714286	134.0386434	0	0	0	0	0	0	22	101	0	0	0	0	0	0	0	35	101	0	0.04488035	0.05343382	88.45355225	110	99.60644505	-0.001	0.83181818
