Day fraction since midnight on 12/19/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Scale ()	PC1 & 2 pump #2 ()
0.72506525	25.12069893	6.9962697	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.7127589	0.11516947	0.85714286	22.26504374	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	98	101	0	0.03733194	0.04772362	89.62410736	0.50081992	1131.4	0.83181818
0.72512313	25.15508842	6.99626446	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.77379167	0.11143616	0.85714286	26.52649736	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	98	101	0	0.04440942	0.05701613	87.72702026	0.50301737	1131.4	0.83181818
0.72518099	25.18142509	6.99631977	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.77379167	0.11143616	0.85714286	31.11175728	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	96	101	0	0.04440942	0.05701613	87.72702026	1.06693149	1131.4	0.83181818
0.72523887	25.19887352	6.996243	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.77379167	0.11143616	0.85714286	39.5587101	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	96	101	0	0.04440942	0.05701613	87.72702026	3.47834563	1131.4	0.83181818
0.72529673	25.16057968	6.99637222	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.77379167	0.1082235	0.85714286	43.5864439	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	96	101	0	0.04615032	0.06081099	86.96389008	6.65816593	1131.3	0.83181818
0.72535461	25.1805172	6.99635696	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.60127699	0.10591516	0.85714286	48.00380468	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	96	101	0	0.04924588	0.05029138	89.0958252	8.68614292	1131.3	0.83181818
0.72541247	25.1886158	6.9963398	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.60127699	0.10591516	0.85714286	52.22528172	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	96	101	0	0.04924588	0.05029138	89.0958252	10.25044155	1131.3	0.83181818
0.72547036	25.19586563	6.99629831	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.66069007	0.1023182	0.85714286	56.84651995	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	98	101	0	0.04924588	0.05029138	89.0958252	11.0077343	1131.3	0.83181818
0.72552821	25.13647842	6.99632645	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.66069007	0.1023182	0.85714286	62.79705811	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	98	101	0	0.04179199	0.04476878	90.23590088	94.25660706	1131.2	0.83181818
0.7255861	25.20538712	6.99632263	1.139	71.30097087	58.37931034	36.26865672	21.24223602	91.39896373	3.386	6.12	1.514	1.603724	0.09714979	0.85714286	69.70692968	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	98	101	0	0.04179199	0.04476878	90.23590088	94.23564148	1131.2	0.83181818
