Day fraction since midnight on 12/21/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Scale ()	PC1 & 2 pump #2 ()
0.00083133	35.77469635	6.99602795	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25078759	2.88401818	0.85714286	10587.25053	0	0	0	0	0	0	44	101	0	952	378	228	24	2	4	98	100	1589	0.02811169	0.03112663	93.11507416	100.7425003	519.4	0.83181818
0.00088919	35.74847031	6.99610043	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.26024047	2.7862165	0.85714286	10591.48807	0	0	0	0	0	0	44	101	0	952	378	228	24	2	4	98	100	1589	0.02811169	0.03112663	93.11507416	100.7269974	519.4	0.83181818
0.00094707	35.73213577	6.99606228	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.26024047	2.7862165	0.85714286	10600.12678	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	44.00000999	101.00001	0.00000999	952.00001	378.00001	228.00001	24.00000999	2.00000999	4.00000999	98.00000999	100.00001	1589.00001	0.02811999	0.03112999	93.11507999	100.7953873	519.3	0.83181818
0.00100493	35.77152252	6.99612951	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25217324	2.55348492	0.85714286	10604.54008	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	44.00000999	101.00001	0.00000999	952.00001	378.00001	228.00001	24.00000999	2.00000999	4.00000999	98.00000999	100.00001	1589.00001	0.02811999	0.03112999	93.11507999	100.8742142	519.3	0.83181818
0.00106281	35.76709747	6.99604893	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25217324	2.55348492	0.85714286	10609.14726	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	44.00000999	101.00001	0.00000999	952.00001	378.00001	228.00001	24.00000999	2.00000999	4.00000999	98.00000999	100.00001	1589.00001	0.02811999	0.03112999	93.11507999	101.0386429	519.3	0.83181818
0.00112067	35.73121262	6.99603081	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.28865793	2.5467124	0.85714286	10613.36868	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	44.00000999	101.00001	0.00000999	952.00001	378.00001	228.00001	24.00000999	2.00000999	4.00000999	98.00000999	100.00001	1589.00001	0.02811999	0.03112999	93.11507999	101.2392349	519.2	0.83181818
0.00117855	35.7986412	6.99599123	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.28865793	2.5467124	0.85714286	10617.40021	0	0	0	0	0	0	44	101	0	958	382	226	24	1	4	98	100	1596	0.02769109	0.03141054	93.05422974	101.373703	519.2	0.83181818
0.00123641	35.75172424	6.99613953	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.30643058	2.52414823	0.85714286	10622.40714	0	0	0	0	0	0	44	101	0	958	382	226	24	1	4	98	100	1596	0.02769109	0.03141054	93.05422974	101.617691	519.2	0.83181818
0.00129429	35.78313065	6.99599981	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.30643058	2.52414823	0.85714286	10630.46636	0	0	0	0	0	0	44	101	0	958	382	226	24	1	4	98	100	1596	0.02778428	0.0309639	93.14997101	101.833725	519.2	0.83181818
0.00135215	35.77083588	6.99625397	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.30643058	2.61294961	0.85714286	10634.69177	0	0	0	0	0	0	44	101	0	958	382	226	24	1	4	98	100	1596	0.02778428	0.0309639	93.14997101	102.0226669	519.2	0.83181818
