Day fraction since midnight on 2/1/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Large Scale ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()
0.00071715	42.43856049	6.99682331	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.38101101	3.34716702	0.84820394	7922.62015152	1409.00000000	607.00000000	624.00000000	473.00000000	234.00000000	54.00000000	98.00000000	100.00000000	3407.00000000	844.00000000	281.00000000	302.00000000	178.00000000	63.00000000	24.00000000	98.00000000	100.00000000	1695.00000000	0.01246384	0.03534536	92.21503448	101.34841156	0.00000000	0.81333333	1.00000000	313.20000000
0.00083676	42.45593643	6.99698496	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.38101101	3.34716702	0.84820394	7922.62015152	1409.00000000	607.00000000	624.00000000	473.00000000	234.00000000	54.00000000	98.00000000	100.00000000	3407.00000000	844.00000000	281.00000000	302.00000000	178.00000000	63.00000000	24.00000000	98.00000000	100.00000000	1695.00000000	0.01246384	0.03534536	92.21503448	101.34841156	0.00000000	0.81333333	1.00000000	313.20000000
0.00083750	42.45399094	6.99696064	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24930573	3.33605361	0.84820394	7933.00188875	1428.00000000	595.00000000	617.00000000	462.00000000	230.00000000	55.00000000	98.00000000	100.00000000	3391.00000000	860.00000000	280.00000000	305.00000000	187.00000000	68.00000000	25.00000000	98.00000000	100.00000000	1727.00000000	0.01246384	0.03534536	92.21503448	101.67491150	0.00000000	0.81333333	1.00000000	313.10000000
0.00095673	42.43655777	6.99670172	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24930573	3.33605361	0.84820394	7933.00188875	1428.00000000	595.00000000	617.00000000	462.00000000	230.00000000	55.00000000	98.00000000	100.00000000	3391.00000000	860.00000000	280.00000000	305.00000000	187.00000000	68.00000000	25.00000000	98.00000000	100.00000000	1727.00000000	0.01246384	0.03534536	92.21503448	101.67491150	0.00000000	0.81333333	1.00000000	313.10000000
0.00101111	42.42802429	6.99684763	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24202490	3.37121630	0.84820394	7943.36763716	1428.00000000	595.00000000	617.00000000	462.00000000	230.00000000	55.00000000	98.00000000	100.00000000	3391.00000000	860.00000000	280.00000000	305.00000000	187.00000000	68.00000000	25.00000000	98.00000000	100.00000000	1727.00000000	0.01284823	0.03498352	92.29189301	101.79821014	0.00000000	0.81333333	1.00000000	313.10000000
0.00107674	42.42871094	6.99662733	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24202490	3.37121630	0.84820394	7943.36763716	1428.00000000	595.00000000	617.00000000	462.00000000	230.00000000	55.00000000	98.00000000	100.00000000	3391.00000000	860.00000000	280.00000000	305.00000000	187.00000000	68.00000000	25.00000000	98.00000000	100.00000000	1727.00000000	0.01284823	0.03498352	92.29189301	101.79821014	0.00000000	0.81333333	1.00000000	313.10000000
0.00112687	42.43544006	6.99660301	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.25391102	3.35553789	0.84820394	7953.73438549	1424.00000000	601.00000000	601.00000000	459.00000000	220.00000000	52.00000000	98.00000000	100.00000000	3360.00000000	860.00000000	280.00000000	305.00000000	187.00000000	68.00000000	25.00000000	98.00000000	100.00000000	1727.00000000	0.01125511	0.03520175	92.24552917	101.80319977	0.00000000	0.81333333	1.00000000	313.00000000
0.00119690	42.41656113	6.99675226	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.25391102	3.35553789	0.84820394	7953.73438549	1424.00000000	601.00000000	601.00000000	459.00000000	220.00000000	52.00000000	98.00000000	100.00000000	3360.00000000	860.00000000	280.00000000	305.00000000	187.00000000	68.00000000	25.00000000	98.00000000	100.00000000	1727.00000000	0.01125511	0.03520175	92.24552917	101.80319977	0.00000000	0.81333333	1.00000000	313.00000000
0.00124261	42.36665344	6.99702168	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.40064991	3.36874223	0.84820394	7964.10013294	1411.00000000	609.00000000	609.00000000	457.00000000	226.00000000	52.00000000	98.00000000	100.00000000	3369.00000000	894.00000000	306.00000000	322.00000000	206.00000000	76.00000000	28.00000000	98.00000000	100.00000000	1836.00000000	0.01468370	0.03728575	91.80399323	101.55680084	0.00000000	0.81333333	1.00000000	313.00000000
0.00131687	42.42366791	6.99680376	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.40064991	3.36874223	0.84820394	7964.10013294	1411.00000000	609.00000000	609.00000000	457.00000000	226.00000000	52.00000000	98.00000000	100.00000000	3369.00000000	894.00000000	306.00000000	322.00000000	206.00000000	76.00000000	28.00000000	98.00000000	100.00000000	1836.00000000	0.01468370	0.03728575	91.80399323	101.55680084	0.00000000	0.81333333	1.00000000	313.00000000
