Day fraction since midnight on 2/1/2021	 State ID	 State name	 Rule that caused previous state to end
0.15916430	6	10cm depth (UV-PC1.2)	Descending Rule
0.16000457	2	Just Water	Descending Rule
0.16048468	0	OFF	New Rule
