Day fraction since midnight on 1/21/2021	 State ID	 State name	 Rule that caused previous state to end
0.17894511	6	10cm depth (UV-PC1.2)	Descending Rule
0.19630873	2	Just Water	Descending Rule
0.38312295	0	OFF	Operator changed the state
0.38313852	2	Just Water	Operator changed the state
0.39670802	0	OFF	Operator changed the state
