Day fraction since midnight on 1/18/2021	 State ID	 State name	 Rule that caused previous state to end
0.34495209	0	OFF	Operator changed the state
0.34577141	2	Just Water	Operator changed the state
0.40660450	0	OFF	Operator changed the state
0.41050532	2	Just Water	Operator changed the state
0.67265693	4	Start Run (UV-PC1.2)	Operator changed the state
0.67282373	2	Just Water	Operator changed the state
0.67310603	4	Start Run (UV-PC1.2)	Operator changed the state
0.69046971	5	10cm depth (UV-PC1.3)	New Rule
