Day fraction since midnight on 2/21/2021,2-3 μm,3-5 μm,5-9 μm,9-17 μm,17-33 μm,33-65 μm,Turb settled w/ blanket ()
0.425343349,121.0900001,55.9300001,69.0800001,87.9300001,38.5000001,-7.96E+29,0.379110855
0.431130409,125.38,57.15,68.83,84.15,36.75,3.9,0.271088501
0.436917466,123.53,56.12,67.56,86.35,40.42,1.09E+16,0.285868979
0.442704525,129.11,60.83,83.36,121.05,62.31,7.93,0.400138039
0.448491579,134.15,68.81,104.87,154.82,72.98,8.06,0.459683216
0.454278629,127.71,62.26,84.68,113.97,51.34,5.81,0.341044834
0.460065682,151.51,87.67,154.86,260.02,157.7,25.3,0.934101754
0.465852732,171.31,110.85,219.71,359.06,185.31,23.73,1.041760556
0.47163978,208.63,165.23,385.95,650.67,325.48,42.94,2.087018472
0.47742683,169.04,111.91,227.28,344.66,138.31,-339.78375,0.847918195
0.483213876,163.42,103.44,205.04,308.03,124.01,12.49,0.74837711
0.489000921,151.95,89.22,164.22,239.28,94.03,9.3,0.576340071
0.494787964,144.48,81.75,141.88,208.52,84.69,9.03,0.521672743
0.500575008,61.56,58.22,149.72,324.26,380.53,245.57,6.686230581
0.506362048,42.79,58.47,158.1,347.76,507.08,421.13,87.90313604
0.51214909,3.02,1.25,0.36,0,0,0,37.28614966
0.517936129,0,0,0,0,0,0,17.16525986
0.523723167,0,0,0,0,0,0,15.35495553
0.529510205,248.2,277.38,279.73,216.11,220.59,114.25,60.66029589
0.535297243,1657.22,1051.49,1332.71,1475.85,970.44,360.99,19.3109613
0.541084287,537.72,312.31,271.51,127.42,28.68,2.83,1.681281356
0.546871363,9.75,9.71,19.57,24.37,7.98,0.6,2.052382201
0.552658665,1005.11,554.37,584.48,399.01,113.4,15.24,1.915598182
0.558445997,1280.54,589.2,456.59,194.34,40.16,-1.15E+21,0.547168014
0.564233309,1311.4,629.39,505.2,223.41,49.7,4.89,0.592476109
0.570020605,1216.010042,614.39,518.57,231.25,47.04,-1268357526,0.580735975
0.575807884,1016.39,528.11,456.19,185.38,27.99,1.84,0.453277083
0.58159515,820.11,437.04,382.07,140.32,13.21,0.56,0.335699955
0.5873824,775.14,416.01,356.59,122.69,10.28,0.2,0.299427126
0.593169663,758.28,401.93,338.93,112.54,9.97,0.28,0.284210489
0.598956925,733.79,383.85,315.74,103.08,10.36,0.59,0.277125324
0.604744174,648.77,333.15,264.87,81.8,8.07,-2.00E+35,0.241134674
0.610531407,502.73,246.95,188.48,56.21,5.66,-1267015352,0.190925401
0.616318628,395.57,186.95,137.37,40.49,4.01,0.05058888,0.15787652
0.622105842,333.95,154.73,111.79,32.09,3.26,0,0.137106292
0.627893039,265.43,118.89,82.56,22.5,2.29,0,0.116481597
0.633680229,233.93,102.67,71.17,21.87,4.44,0.77,0.122895777
0.63946741,233.25,103.61,73.61,24.33,5.78,-43164421324,0.13594509
0.645254581,189.57,82.18,56.66,17.5,3.83,0.39,0.109791904
0.651041744,172.95,72.79,47.32,13.9,2.4,0.24,0.095541077
0.656828898,168.02,69.05,43.73,12.22,2.32,0.13,0.094200417
0.662616046,325.78,153.05,121.79,65.06,23.43,2.73,0.234607886
0.668403186,699.84,382.04,380.47,244.58,83.01,9.58,0.615600813
0.674190318,1058.959958,576.79,543.64,326.29,111.68,73822.51,0.745206584
0.679977445,1155.84,849.48,850.9,508,177.69,15.91,4.457735629
0.685764568,19.35,18.68,36.52,35.98,8.3,0.91,5.55021182
0.691551683,1690.21,1031.51,920.94,492.01,145.78,17.12,2.716296753
0.697338794,0.05,0,0,0,0,0,1.190356292
0.703125901,0.2,0.15,0.05,0,0,0,0.961267751
0.708913,257.07,129.56,89.64,36.8,12.2,1.59,0.94735029
0.714700097,1107.029958,548.8400001,414.4200001,166.7800001,40.4200001,6.82E+26,0.44036666
0.72048719,959.65,461.6,342.35,131.63,30.38,1.22,0.350731113
0.72627428,727.87,351.31,264.11,95.61,18.31,0.86,0.276846316
0.732061366,1129.27,593.04,545.8,280.22,87.16,20.92,1.342825674
0.737848448,2103.747475,1141.838384,1128.858586,631.4742268,203.0618557,49.32989691,3.234942393
0.743635528,3020.575758,1672.91,1633.171717,875.3232323,260.2121212,57.8,4.257229152
