Day fraction since midnight on 12/19/2020,2-3 um,3-5 um,5-9 um,9-17 um,17-33 um,33-65 um,Turb settled w/ blanket (),Time Elapsed (Hours)
0.727929886,0,0,0,0,0,0,1.52042177,0
0.733717015,0,0,0,0,0,0,1.120846429,0.138891115
0.739504135,689.2405067,369.0126586,350.2278485,177.64557,49.55696241,10.44047655,5.826810464,0.277781988
0.745291247,2540.939396,1364.343437,1279.434346,634.0707096,171.1212146,32.28283081,2.498337159,0.416672674
0.751116565,2412.919194,1239.353537,1118.737376,546.3939415,147.8080829,29.68695755,2.412196887,0.556480313
0.756923392,2095.400002,1025.460002,907.160002,456.380002,128.260002,28.090002,2.097599162,0.695844163
0.76271053,1881.040001,898.350001,803.220001,413.960001,114.040001,25.230001,1.864294289,0.834735473
0.768497657,1723.670002,820.4500025,738.9600025,387.4400025,102.3100025,23.6100025,1.668242245,0.973626506
0.774284773,1551.570001,744.0900013,680.0900013,355.1700013,91.2600013,20.8800013,1.545261995,1.11251729
0.780071883,1467.08081,705.2626284,657.3636385,345.4545476,88.32323444,21.64646677,1.493040371,1.251407942
0.785858985,1385.860001,672.540001,634.440001,337.360001,84.530001,21.510001,1.43226846,1.390298386
0.791646092,1305.810001,635.2800014,610.3100014,326.4000014,82.0500014,23.1200014,1.425113091,1.529188949
0.79743323,1230.650003,609.8500025,595.9300025,319.7200025,78.0000025,22.8800025,1.349788282,1.668080268
0.803220359,1183.300001,587.3700013,578.7200013,300.9900013,71.5600013,20.5700013,1.225746901,1.806971359
0.80900748,1153.222224,570.6767696,557.3333353,282.8484868,64.92929485,18.95959788,1.142334806,1.945862266
0.814794591,1127.140002,555.4300018,543.4000018,276.0400018,62.4000018,17.9300018,1.106055369,2.084752937
0.820581693,1071.272729,532.7777796,526.3838402,259.6767695,55.49495131,16.26262808,1.040883605,2.223643378
0.826368792,1030.510001,521.3100012,517.2800012,255.7300012,55.8200012,17.7100012,1.038920342,2.362533746
0.83215588,1009.000002,521.2525268,521.3131328,252.7474763,52.71717323,16.47474899,1.008112878,2.501423868
0.837942965,978.6000013,506.5100013,513.7800013,243.7000013,48.6200013,16.7100013,1.007235877,2.640313906
0.843730048,953.4800013,498.4700013,505.7000013,239.1700013,47.1400013,17.3500013,1.020222015,2.77920389
0.849517124,920.1400012,492.8200012,505.0300012,236.0800012,45.9300012,17.2600012,1.027965795,2.918093722
0.855304197,877.0101023,469.1919205,478.2424256,216.2121225,39.13131444,15.13131444,1.038847931,3.056983474
0.861091266,851.5700017,452.8600017,458.4600017,200.6600017,33.8500017,13.4200017,0.855130102,3.19587312
0.866878334,831.7777791,447.2323245,451.8181831,193.3636377,30.31313262,11.83838515,0.782322637,3.334762766
0.8726654,796.2929307,429.6868701,428.4646479,173.7878802,24.82828424,9.676769089,0.724523112,3.47365235
0.878452454,759.7216513,406.0824761,406.3505173,158.5051565,20.89690907,8.577321441,0.683169581,3.612541651
0.884239512,689.7500019,367.3500019,360.2700019,136.0000019,16.8600019,7.210001898,0.639647789,3.751431031
0.890026607,622.1200019,322.9900019,312.8700019,114.4700019,13.1800019,6.430001898,0.564934274,3.890321314
0.895813715,591.840002,311.680002,302.940002,106.480002,11.730002,5.720001998,0.545006351,4.029211915
0.901600819,566.8400015,296.5100015,285.8300015,100.4000015,10.5600015,5.480001498,0.509708331,4.168102406
0.907387916,542.5600014,288.4000014,279.7700014,96.8900014,9.500001399,4.970001399,0.493953145,4.306992737
0.913175016,559.8500015,300.7200015,292.6300015,100.6000015,9.900001499,5.600001498,0.490138887,4.445883144
0.918962119,570.6400021,302.3800021,295.8400021,102.2700021,10.0200021,5.480002098,0.501812656,4.584773604
0.92474923,588.8585864,317.8686874,311.8989904,108.3434348,10.23232374,5.474227319,0.517646254,4.723664275
0.930536338,618.2323246,338.7575772,331.6868701,115.4848499,10.7878802,5.878789292,0.743143135,4.862554862
0.93632344,631.414143,350.4444461,347.0505067,118.0707087,11.23232485,6.111112726,0.544702828,5.001445315
0.942110539,617.3400019,334.4800019,323.7800019,110.2100019,10.7100019,6.120001898,0.582082171,5.140335696
0.947897637,625.3030311,321.6464655,309.3737382,103.232324,9.515152322,5.848485656,0.51848646,5.279226029
